circ;vano;pop
1;2000;1516.123509
1;2001;1527.689626
1;2002;1539.343977
1;2003;1551.087237
1;2004;1562.920084
1;2005;1574.8432
1;2006;1586.857274
1;2007;1598.963001
1;2008;1611.161079
1;2009;1623.452213
1;2010;1635.837113
1;2011;1645.025883
1;2012;1653.913908
1;2013;1664.171332
1;2014;1670.320817
1;2015;1676.260402
1;2016;1682.007687
1;2017;1694.839291
1;2018;1707.768785
1;2019;1720.796914
1;2020;1733.924432
4;2000;29229.3482
4;2001;29452.33139
4;2002;29677.01567
4;2003;29903.414
4;2004;30131.53946
4;2005;30361.40524
4;2006;30593.0246
4;2007;30826.41093
4;2008;31061.5777
4;2009;31298.5385
4;2010;31537.30702
4;2011;31714.45733
4;2012;31885.80959
4;2013;32083.56249
4;2014;32202.11843
4;2015;32316.6277
4;2016;32427.4296
4;2017;32674.81014
4;2018;32924.07787
4;2019;33175.24721
4;2020;33428.33265
5;2000;34985.42737
5;2001;35252.32221
5;2002;35521.25312
5;2003;35792.23564
5;2004;36065.28542
5;2005;36340.41822
5;2006;36617.64993
5;2007;36896.99658
5;2008;37178.47429
5;2009;37462.09933
5;2010;37747.88806
5;2011;37959.92425
5;2012;38165.02057
5;2013;38401.71657
5;2014;38543.61951
5;2015;38680.67887
5;2016;38813.30077
5;2017;39109.39748
5;2018;39407.75303
5;2019;39708.38465
5;2020;40011.30972
6;2000;74834.97399
6;2001;75405.87079
6;2002;75981.12281
6;2003;76560.76328
6;2004;77144.82569
6;2005;77733.34375
6;2006;78326.35147
6;2007;78923.88309
6;2008;79525.97312
6;2009;80132.65635
6;2010;80743.96781
6;2011;81197.52015
6;2012;81636.22789
6;2013;82142.52839
6;2014;82446.0634
6;2015;82739.23786
6;2016;83022.92046
6;2017;83656.281
6;2018;84294.47328
6;2019;84937.53417
6;2020;85585.50081
7;2000;37930.95916
7;2001;38220.32471
7;2002;38511.89775
7;2003;38805.69513
7;2004;39101.73381
7;2005;39400.0309
7;2006;39700.60361
7;2007;40003.46932
7;2008;40308.64552
7;2009;40616.14982
7;2010;40926
7;2011;41155.88817
7;2012;41378.25219
7;2013;41634.87636
7;2014;41788.72654
7;2015;41937.32536
7;2016;42081.11311
7;2017;42402.13912
7;2018;42725.61415
7;2019;43051.55689
7;2020;43379.98616
9;2000;126504.1883
9;2001;127469.2562
9;2002;128441.6864
9;2003;129421.5351
9;2004;130408.8587
9;2005;131403.7144
9;2006;132406.1596
9;2007;133416.2522
9;2008;134434.0505
9;2009;135459.6134
9;2010;136493
9;2011;137259.704
9;2012;138001.314
9;2013;138857.1856
9;2014;139370.294
9;2015;139865.8884
9;2016;140345.4374
9;2017;141416.0967
9;2018;142494.9238
9;2019;143581.981
9;2020;144677.3311
10;2000;95680.99741
10;2001;96410.92317
10;2002;97146.41734
10;2003;97887.52241
10;2004;98634.28118
10;2005;99386.73678
10;2006;100144.9327
10;2007;100908.9126
10;2008;101678.7208
10;2009;102454.4017
10;2010;103236
10;2011;103815.8938
10;2012;104376.808
10;2013;105024.1435
10;2014;105412.2312
10;2015;105787.0723
10;2016;106149.7775
10;2017;106959.5669
10;2018;107775.534
10;2019;108597.7258
10;2020;109426.19
11;2014;70818.03543
11;2015;71069.86115
11;2016;71313.53372
11;2017;71857.56636
11;2018;72405.74928
11;2019;72958.11415
11;2020;73514.69286
12;2000;85011.97702
12;2001;85660.51156
12;2002;86313.99361
12;2003;86972.4609
12;2004;87635.95147
12;2005;88304.50363
12;2006;88978.15602
12;2007;89656.94752
12;2008;90340.91735
12;2009;91030.10501
12;2010;91724.5503
12;2011;92239.78241
12;2012;92738.15116
12;2013;93313.30478
12;2014;93658.11831
12;2015;93991.16232
12;2016;94313.42366
12;2017;95032.91655
12;2018;95757.89826
12;2019;96488.41068
12;2020;97224.49598
13;2000;64382.76564
13;2001;64873.92523
13;2002;65368.83174
13;2003;65867.51377
13;2004;66370.00012
13;2005;66876.31981
13;2006;67386.50208
13;2007;67900.5764
13;2008;68418.57246
13;2009;68940.52018
13;2010;69466.4497
13;2011;69856.65434
13;2012;70234.08773
13;2013;70669.67318
13;2014;70930.81343
13;2015;71183.04018
13;2016;71427.1008
13;2017;71971.99981
13;2018;72521.05572
13;2019;73074.30023
13;2020;73631.7653
14;2000;82289.40212
14;2001;82917.16683
14;2002;83549.72061
14;2003;84187.09997
14;2004;84829.34173
14;2005;85476.483
14;2006;86128.56114
14;2007;86785.61381
14;2008;87447.67897
14;2009;88114.79486
14;2010;88787
14;2011;89285.7314
14;2012;89768.1395
14;2013;90324.87337
14;2014;90658.64398
14;2015;90981.022
14;2016;91292.96267
14;2017;91989.41324
14;2018;92691.17685
14;2019;93398.29403
14;2020;94110.80563
15;2000;137486.9832
15;2001;138535.8361
15;2002;139592.6904
15;2003;140657.6072
15;2004;141730.648
15;2005;142811.8747
15;2006;143901.3498
15;2007;144999.1362
15;2008;146105.2974
15;2009;147219.8972
15;2010;148343
15;2011;149176.2674
15;2012;149982.2622
15;2013;150912.4387
15;2014;80652.05844
15;2015;80938.85349
15;2016;81216.36323
15;2017;81835.94201
15;2018;82460.2474
15;2019;83089.31545
15;2020;83723.1825
16;2000;282123.4415
16;2001;284275.6888
16;2002;286444.3551
16;2003;288629.5655
16;2004;290831.4463
16;2005;293050.1247
16;2006;295285.7289
16;2007;297538.3879
16;2008;299808.2318
16;2009;302095.3918
16;2010;175157
16;2011;176140.8861
16;2012;177092.57
16;2013;178190.8821
16;2014;178849.3372
16;2015;179485.3173
16;2016;180100.7069
16;2017;181474.6489
16;2018;182859.0724
16;2019;184254.0573
16;2020;185659.6842
17;2000;74427.20384
17;2001;74994.98987
17;2002;75567.10739
17;2003;76143.58944
17;2004;76724.46933
17;2005;77309.78061
17;2006;77899.55707
17;2007;78493.83278
17;2008;79092.64208
17;2009;79696.01953
17;2010;80304
17;2011;80755.08097
17;2012;81191.39823
17;2013;81694.93993
17;2014;81996.821
17;2015;82288.39797
17;2016;82570.53481
17;2017;83200.44421
17;2018;83835.15904
17;2019;84474.71594
17;2020;85119.15185
18;2000;62763.02364
18;2001;63241.82663
18;2002;63724.28229
18;2003;64210.41847
18;2004;64700.26326
18;2005;65193.84496
18;2006;65691.19206
18;2007;66192.33329
18;2008;66697.29761
18;2009;67206.11416
18;2010;67718.81235
18;2011;68099.20022
18;2012;68467.13814
18;2013;68891.76513
18;2014;69146.33561
18;2015;69392.21684
18;2016;69630.13738
18;2017;70161.32782
18;2018;70696.57057
18;2019;71235.89655
18;2020;71779.33691
19;2000;129149.5011
19;2001;130134.7495
19;2002;131127.5141
19;2003;132127.8522
19;2004;133135.8217
19;2005;134151.4807
19;2006;135174.8879
19;2007;136206.1024
19;2008;137245.1838
19;2009;138292.192
19;2010;139347.1877
19;2011;140129.9241
19;2012;140887.0418
19;2013;141760.8105
19;2014;142284.6484
19;2015;142790.6061
